ID,SubCat1_ID,Subcatagoria2
954,99,Paquetes de Pilas y Cargadores
955,99,Pilas Desechables
956,99,Pilas Recargables
957,99,Portapilas
958,99,otros
959,100,Tablets
960,100,otros
961,101,otros
962,102,Almacenamiento de Garaje
963,102,Almacenamiento para Exteriores
964,102,Armarios de Almacenamiento
965,102,Estantes Multiusos
966,102,Organizadores de Herramientas
967,102,otros
968,103,Chimeneas
969,103,Estufas
970,103,otros
971,104,Accesorios para Conductos
972,104,Adaptadores Internacionales
973,104,Automatizacion del Hogar
974,104,Bridas
975,104,Cableado de Superficie
976,104,Cables electricos
977,104,Capacitadores
978,104,Cojines Termicos Relajantes
979,104,Comparadores
980,104,Cristales
981,104,Diodos
982,104,Disyuntores
983,104,Enchufes y accesorios
984,104,Extensiones
985,104,Fusibles
986,104,Herramientas y Comprobadores
987,104,Interruptores y Reguladores de Luz
988,104,LED
989,104,Monitores
990,104,Monitores de Alimentacion Electrica
991,104,Montajes Empotrados
992,104,Optoacopladores
993,104,Osciladores
994,104,Paneles Disyuntores
995,104,Placa Adaptadora SMD
996,104,Placas de Pared
997,104,Radiotransmisores de Pared
998,104,Regletas Electricas
999,104,Resistores
1000,104,Resonadores
1001,104,Temporizadores
1002,104,Terminales y Kits
1003,104,Timbres y Campanas para Puerta
1004,104,Transformadores
1005,104,Transistores
1006,104,otros
1007,105,Equipamiento de Banhos
1008,105,Equipamiento de Lavaderos y Servicios
1009,105,Equipamiento para Cocina
1010,105,Filtros y Descalcificadores
1011,105,Saunas
1012,105,otros
1013,106,Adhesivos y Selladores
1014,106,Articulos para Banho
1015,106,Buzones
1016,106,Candados y Aldabas para Candados
1017,106,"Clavos, Tornillos y Sujetadores"
1018,106,Ferreteria para Armarios
1019,106,Ferreteria para Muebles
1020,106,Ferreteria para Puertas de Garaje
